model,tweet_index,original_tweet_index,date,error,adwin_estimation,adwin_width,n_detections
arf,910145,915145,2009-06-05 12:46:00,0,0.08333333333333333,192.0,1
arf,913121,918121,2009-06-05 13:43:13,0,0.30174180327868855,1952.0,1
arf,914657,919657,2009-06-05 14:07:08,0,0.13125,320.0,1
arf,917985,922985,2009-06-05 14:51:23,0,0.28515625,768.0,1
arf,941441,946441,2009-06-05 21:12:33,0,0.3222107438016529,19360.0,1
arf,943233,948233,2009-06-05 21:40:14,1,0.2828125,640.0,1
arf,956097,961097,2009-06-06 00:31:06,0,0.37890625,512.0,1
arf,963745,968745,2009-06-06 02:23:13,1,0.484375,128.0,1
arf,965281,970281,2009-06-06 02:47:43,0,0.28671875,1280.0,1
arf,967201,972201,2009-06-06 03:17:03,1,0.4010416666666667,192.0,1
arf,967937,972937,2009-06-06 03:28:16,1,0.4114583333333333,192.0,1
arf,1066305,1071305,2009-06-07 00:07:54,0,0.3227134146341463,65600.0,1
arf,1092705,1097705,2009-06-07 06:25:04,0,0.35125,800.0,1
arf,1180769,1185769,2009-06-15 02:17:08,0,0.32766462053571427,71680.0,1
arf,1201473,1206473,2009-06-15 06:42:21,1,0.42788461538461536,416.0,1
arf,1284577,1289577,2009-06-16 00:58:48,0,0.32330635491606713,66720.0,1
arf,1303297,1308297,2009-06-16 05:11:28,1,0.3185580614203455,16672.0,1
arf,1308609,1313609,2009-06-16 06:17:31,1,0.4765625,128.0,1
arf,1320065,1325065,2009-06-16 08:52:08,0,0.1125,160.0,1
